A comparison of mobile form controls for different tasks,DENIZ201997,2019,doubt
A context-sensitive offloading system using machine-learning classification algorithms for mobile cloud environment,NIOR2019503,2019,doubt
A machine learning based approach to detect malicious android apps using discriminant system calls,019333,2019,doubt
Exploring ``Internet+Recycling'': Mass balance and life cycle assessment of a waste management system associated with a mobile application,2019172,2019,doubt
An intelligent machine vision-based smartphone app for beef quality evaluation,SSEINPOUR20199,2019,doubt
Improving CNN linear layers with power mean non-linearity,ANG201912,2019,doubt
Optimized Hardware Accelerators for Data Mining Applications on Embedded Platforms: Case Study Principal Component Analysis,AHROUZI2019,2019,doubt
Find me a safe zone: A countermeasure for channel state information based attacks,ANG2019273,2019,doubt
A mobile malware detection method using behavior features in network traffic,NG2019,2019,doubt
AnswerAuth: A bimodal behavioral biometric-based user authentication scheme for smartphones,RIRO201989,2019,doubt
Differences in perceptions about food delivery apps between single-person and multi-person households,O2019108,2019,doubt
Performance of automation testing tools for android applications,naga2018534,2018,doubt
Hybrid crowd-powered approach for compatibility testing of mobile devices and applications,ith2018,2018,doubt
An extension of TRIANGLE testbed with model-based testing,nizo2018190,2018,doubt
An enhanced authentication scheme in mobile RFID system,iou20181,2018,doubt
Testing android applications using multi-objective evolutionary algorithms with a stopping criteria,hella2018308,2018,doubt
Analysing data security requirements of android mobile banking application,atnagar201830,2018,doubt
Improving test suites via a novel testing with model learning approach,vella2018235,2018,doubt
Android-SRV: Scenario-Based Runtime Verification of Android Applications,ang2018239,2018,doubt
"Analysis and Evaluation of SafeDroid v2.0, a Framework for Detecting Malicious Android Applications",gyriou2018,2018,doubt
A crawling approach of hierarchical GUI model generation for android applications,u20181613,2018,doubt
A novel framework for reliable network prediction of small scale wireless sensor networks (SSWSNs),ndhu2018303,2018,doubt
HEMD: a highly efficient random forest-based malware detection framework for Android,u20183353,2018,doubt
One-dimensional convolutional neural networks for Android malware detection,segawa201899,2018,doubt
DroidDet: Effective and robust detection of android malware using static analysis along with rotation forest model,u2018638,2018,doubt
